rank,name,ratings,actual_price
191,"Gizga Essentials Cable Organizer Clips Holder, Strong Self Adhesive Wire Management Clamps, Cord Routing Clips for Wall, H...",3.2,"50,399"
192,"Gizga Essentials Cable Organizer Clips Holder, Strong Self Adhesive Wire Management Clamps, Cord Routing Clips for Wall, H...",3.2,"50,399"
193,Maizic Smarthome 4G SIM(All Supported) Gorilla 3MP Full HD IP66 Outdoor V380 Wireless PTZ Security Camera Colored 9 IRS Du...,3.2,"50,399"
194,"Madhuli Om With Ganpati Door Eye, Door Viewer, Antique Door Eye, 180 Degree Ultra Clear Door viewer, Antique Brass Finish ...",4.1,5099
195,Giffy® Water-Saving Sprinkler 360 Flexible Faucet Sprayer Extension Jet Stream/Water Saving Nozzle Cock Faucet,5,5099
196,SpiderJuice Scratch Protection Self Adhesive Rubber Pads for Furniture Floor (Square Shape) - 18 PCS,3.8,5099
197,"Ikea Sponge, Grey-White",3.7,5099
198,"Cheston Bench Press Jig Mini Drill Machine Stand for Electric Hand Drill (Colour May Vary, 400mm)",3.5,"50,999"
199,KAWACH Cut Resistance Gloves | Hand Safety Gloves for Kitchen Gardening | High Performance Fiber/Cotton Kitchen Gloves (Fr...,3.2,5099
200,VAPJA® Absorbent PVA House Cleaner Professional Double Roller Office Home Kitchen Floor Cleaning Sponge Mop Cleaner Pocha ...,2.3,5099
201,"Lifelong Sink Cock with Flexible Spout Kitchen|Kitchen Sink Spout - Wall Mount Installation (LLKASS01, Black, 1 Year Warra...",3.8,"50,499"
202,"Buildskill Basics BITB185 Powder Coated Metal Tool Box Empty With 5-Tray Cantilever Tool Organizer Without Tools, 18"", Dua...",4.7,"50,459"
203,"Gala 132780 Mr Tall Floor Mop - Assorted Colour, Colour May Vary(Pack of 1)",3.5,5075
204,Style Eva Best Deals - Specially Design Clean Sliding Door Window Tracks Cleaning Brush (Random Color/Design Will be Shipped),3.8,5099
205,ZIXAD Set of 100 Pieces Round Adhesive Silicone Bumper Door Cabinet Drawer Safety Stopper Mute Buffer Door Protector for H...,4.5,5099
206,KitchMax Kitchen Sink Corner Wash Basin Sponge Soap Scrub ABS Brush Storage Holder Rack with Suction Cup - Multipurpose (R...,3.4,5099
207,Shreeji Water Manual Pump Dispenser for 20 Litre Bottle Hand Press for Home (2),2.2,5099
